game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,image_url,age,mechanic,owned,category,designer,num_votes
12898,La Bataille d'Auerstædt,1,2,480,0,480,1977,7.57254,https://cf.geekdo-images.com/original/img/IMoLIzqUk_6GF8ixm0XtgOciSWE=/0x0/pic532540.jpg,12,Hex-and-Counter,471,"Napoleonic, Wargame","Monte Mattson, Dennis A. Spors, Ed Wimble",142
99459,Banjooli Xeet,2,5,30,30,30,2013,6.44845,https://cf.geekdo-images.com/original/img/jSYeuwCBkJxyv5F0LLsdCqvIDzg=/0x0/pic1573682.jpg,8,"Dice Rolling, Modular Board, Roll / Spin and Move",429,"Bluffing, Dice, Racing",Diego Ibañez,380
190333,Fire of Eidolon,1,6,45,30,45,2017,7.26383,https://cf.geekdo-images.com/original/img/1oe6F4W3wXcw37agIkgLYXuVg3s=/0x0/pic3407529.jpg,14,"Action Point Allowance System, Co-operative Play, Modular Board, Pick-up and Deliver, Set Collection, Tile Placement, Variable Player Powers",521,"Adventure, Exploration, Fantasy, Video Game Theme",Michael Lipton,188
125315,FlowerFall,2,7,10,10,10,2012,6.05336,https://cf.geekdo-images.com/original/img/nQZ42y5Fy4gENVQDKzsNK-ZVyvQ=/0x0/pic1391445.jpg,6,"Area Control / Area Influence, Modular Board",1071,"Action / Dexterity, Card Game, Party Game",Carl Chudyk,743
230791,Time of Legends: Joan of Arc,2,4,90,45,90,2018,9.15915,https://cf.geekdo-images.com/original/img/AbdqnZ_pkOjV8g9mcDrLaGhxp7c=/0x0/pic3726803.jpg,14,"Action Point Allowance System, Area Movement, Dice Rolling, Modular Board, Variable Player Powers",174,"Adventure, Fantasy, Fighting, Medieval, Miniatures, Religious, Wargame",Pascal Bernard,259
5306,Harry's Grand Slam Baseball Game,2,4,20,20,20,1962,6.31398,https://cf.geekdo-images.com/original/img/kIa5Aen93eNvA5jlGkXgmd0UorE=/0x0/pic21582.jpg,8,"Hand Management, Simulation",509,"Card Game, Sports",Harry Obst,398
33759,Omega Centauri,2,4,60,60,60,2014,7.04775,https://cf.geekdo-images.com/original/img/QJE_E5x_qaEI57C4ZiuD58fONj8=/0x0/pic2061273.jpg,12,"Modular Board, Variable Phase Order",401,"Civilization, Science Fiction",Nigel Buckle,200
5071,Sjoelen,1,4,30,30,30,1870,6.72231,https://cf.geekdo-images.com/original/img/g6x7glhuaX-x6bA992hnS-AZrAY=/0x0/pic2602109.jpg,6,none,184,Action / Dexterity,(Uncredited),242
980,Al Cabohne,1,2,60,60,60,2000,5.96985,https://cf.geekdo-images.com/original/img/x5YzLzEt93vXS85jxG5nsV4cjFs=/0x0/pic19358.jpg,12,Set Collection,2403,"Card Game, Farming, Mafia",Uwe Rosenberg,1025
55763,Mister X,2,6,60,60,60,2009,6.70258,https://cf.geekdo-images.com/original/img/HGx-L_mjYzF5JCh_OdgUO7QJSR8=/0x0/pic580418.jpg,10,"Hand Management, Partnerships, Point to Point Movement",512,"Bluffing, Deduction",Gabriele Mari,283
